"area_cont","area_ctry","area_name","area_code","alt_m","alt_sd","slope_m","slope_sd","ddefor_m","ddefor_sd","dedge_m","dedge_sd","driver_m","driver_sd","droad_m","droad_sd","dtown_m","dtown_sd"
"America","Antigua and B.","Antigua and B.","ATG",93.5649753663062,94.4772177180551,9.64623456395163,8.64588235703963,230.661458005167,190.370263045238,66.9151282212841,70.0605799063838,20134.3829626363,17824.0748228805,1867.65150274085,2343.96696904008,2552.51817780858,2358.42056974043
"America","Bahamas","Bahamas","BHS",9.76615787617752,6.13375885782983,0.947156314543348,1.03878360791764,150.3429,212.305311278003,67.83035,84.4986666765281,56156.6349,57824.5512470789,11544.64095,22732.0355500502,26009.22465,25431.7351577481
"America","Barbados","Barbados","BRB",167.310531053105,85.2021849090853,6.50281278127813,4.17485513942872,186.728208571109,144.081303481534,60.4186527917646,63.2444165129342,4001.92855544366,2360.22463421158,451.596564842788,407.100133581123,1073.86443996867,558.132408087085
"America","Belize","Belize","BLZ",172.055477738869,220.949041720551,4.27313656828414,5.64635886828996,673.14925,1186.49636828607,417.92375,699.951045509072,4333.79995,4316.63113910021,6313.95055,6284.021151269,8874.01975,7793.08107202727
"America","Bolivia","Bolivia","BOL",408.427667416903,507.427460619026,4.35978732426526,7.63403287517213,645.186026029944,1072.16203534837,476.296115079753,860.85181303705,8170.43784453795,9707.65643389856,22366.7376292527,19194.2524493199,22499.2067227713,21418.8708702443
"America","Brazil","Brazil – Acre","AC",235.865859163407,45.4139328442718,2.53125940415287,1.63117255373382,1548.33663105627,2601.63284172097,850.77087721938,1494.1814879655,7228.30721486608,6941.97773645431,46305.735479988,49529.4357627906,39217.4010306952,25160.8892291992
"America","Brazil","Brazil – Alagoas","AL",169.819645893768,173.023279218311,7.78353506051816,5.96452918930352,138.52795,134.114628417169,61.84355,66.4878560727277,3521.80685,2905.90307513468,3005.74325,2391.20328930603,7789.42115,3555.93397327675
"America","Brazil","Brazil – Amapa","AP",97.1687953054884,99.2084577406695,3.20827580255437,3.31595243778096,2345.97678833376,3841.31899118969,1613.73807058417,2694.79172300497,8607.11273621538,8242.00986841366,39412.1680904306,41269.8257327977,46422.296013461,56262.1300492954
"America","Brazil","Brazil – Amazonas","AM",96.69182,74.5940949933551,1.94474,2.25101243954138,2836.48931,4274.07943644898,2336.23053,3557.38930593106,8957.23726,8148.8365130608,71879.41708,76447.9051094678,66843.62236,53323.5040439304
"America","Brazil","Brazil – Bahia","BA",257.459041808362,258.847795660097,7.21674334866973,6.39647249907722,159.49635,213.830933379811,92.57735,131.738747420249,5645.1523,4538.12316970352,3170.4785,2758.38126478155,8514.56255,7725.90954651318
"America","Brazil","Brazil – Ceara","CE",486.534483620905,372.030420985863,8.27541885471368,9.36778202246192,190.898139813981,303.54945612929,60.4811481148115,57.5741507715704,4774.38818881888,4308.9284536921,2101.90519051905,1631.67303619525,4122.70667066707,2305.53122494597
"America","Brazil","Brazil – Espirito Santo","ES",409.859050667734,410.564138478948,11.2742459860951,9.88264803358767,153.61345,226.441600460292,82.2993,128.929976601461,3856.9852,3016.87982101934,1476.23825,1287.37824217433,7327.2445,4564.33727707087
"America","Brazil","Brazil – Goias","GO",553.95485,252.290541513836,3.57415,4.45084174927775,170.5578,241.261573642604,48.4236,43.5827137255906,5828.33375,5528.43127037648,6384.2805,5083.25646575447,20347.12965,11097.4596587185
"America","Brazil","Brazil – Maranhao","MA",133.45613771706,115.718239725378,3.22223890306761,3.55692119270414,471.63785,1172.05039759564,332.74165,940.261198264251,15673.02425,11063.3333603537,11786.9702,9701.57963832622,13443.37795,9434.14754480227
"America","Brazil","Brazil – Mato Grosso","MT",311.364874155557,101.31698171301,2.33632749447002,2.67378509495491,689.753437556047,1248.44578686446,588.143869193519,1098.38222880069,9175.77035631016,7890.84055304275,16735.5742362647,21492.6268822416,40200.040757458,23745.0249221013
"America","Brazil","Brazil – Mato Grosso do Sul","MS",303.7881,161.468442121921,2.5013,3.60175609145693,257.85715,362.623380009706,53.7496,60.1199926855952,7151.85695,8233.78901511716,13314.3898,19665.6821117601,27135.4472,18426.2112121156
"America","Brazil","Brazil – Minas Gerais","MG",883.8865,311.307521972104,11.48025,7.19142515550905,110.3932,129.660062395284,54.9238,58.2517755697442,6049.25865,4948.49083853139,2923.75965,2994.7753545889,7934.94355,5041.69244381272
"America","Brazil","Brazil – Para","PA",201.990369903699,126.19295372759,3.95236952369524,4.05568863852001,1080.33169,1806.02638954278,919.67659,1552.82326879044,11540.46818,9398.18484750815,44627.00445,69557.6462761527,49064.07191,59858.7404970617
"America","Brazil","Brazil – Paraiba","PB",118.05579764588,147.65822328505,4.12632106185825,4.13628660448883,175.33845,214.07850378281,87.87185,108.435662225209,3377.7695,3485.81435768696,1969.91235,1502.97228798551,5701.56175,2608.53916727664
"America","Brazil","Brazil – Parana","PR",722.014605111789,299.016892043671,7.62581903666283,5.97383983009169,218.31645,345.126186218343,123.38665,248.853943038936,3763.93765,3604.85069987522,3842.1401,3203.38840675561,10807.84505,6019.22542492606
"America","Brazil","Brazil – Pernambouco","PE",241.859652635267,251.415411228514,7.87201561639722,5.76277865062594,126.84495,127.297172545208,63.33765,67.411216841749,2973.08105,2702.46206989901,2571.458,2015.01933491518,5002.4836,2211.03810650257
"America","Brazil","Brazil – Piaui","PI",159.78793939697,117.794630353183,3.04145207260363,3.0481241637575,160.70565,227.066434257368,43.6708,33.4653436232349,11676.7016,8265.64307292106,4690.6805,4988.48498773359,15113.60335,10110.2650994441
"America","Brazil","Brazil – Rio de Janeiro","RJ",545.76006006006,409.272525203289,15.7614114114114,9.42146934924928,171.05535,225.729101286777,109.4171,165.07890228551,3016.17885,2784.88629041568,2362.87895,2434.48916127608,7012.22205,3934.03519180857
"America","Brazil","Brazil – Rio Grande do Norte","RN",42.5690061706717,38.4261910934618,2.25390056689911,2.26145720789425,148.113889861451,177.776363327025,70.9616365728005,76.0764840889424,3124.23818336418,2878.13225893261,1935.97509128195,1620.38428157266,5555.96578802581,2681.3931744286
"America","Brazil","Brazil – Rio Grande do Sul","RS",361.37695,260.438856314858,8.10225,7.57370866819219,125.61965,139.312065796403,52.77325,61.9139055545889,2228.96765,2542.76020770288,3057.68795,2941.60536985885,9245.34035,6707.77591463802
"America","Brazil","Brazil – Rondonia","RO",195.755364496785,98.0580763723028,2.44397081135756,2.94779302453339,808.346759627195,1278.67858658883,656.406473520699,1057.40528263061,11869.2293186908,9910.23843104365,16424.9284733762,17878.7911494663,31885.8880138718,18672.2858808081
"America","Brazil","Brazil – Roraima","RR",201.521875576888,219.345073110866,3.68214263737616,4.84507598043297,1506.52621377146,2468.90038372154,1233.37628453634,2082.89361000323,8365.3323180112,6660.45323678459,53371.530090456,63667.156380597,47362.1915266753,45447.3585361637
"America","Brazil","Brazil – Santa Catarina","SC",678.077215443089,351.749310494457,10.0549109821964,7.27176079181176,148.2211,185.089708857101,83.92335,122.704316925881,2052.8212,1905.21475369404,2539.24805,2377.83886180368,10272.6126,5923.01825284056
"America","Brazil","Brazil – Sao Paulo","SP",574.379625925185,345.370212538527,8.16033206641328,7.18968160979097,309.91435,505.751485753967,193.55035,364.76938755902,4191.05325,4013.909694832,3515.0631,3735.38703300377,9675.1004,5699.76384509168
"America","Brazil","Brazil – Sergipe","SE",64.1870683615254,66.6129947039877,3.63752377139425,3.26962308947075,130.9387,128.736323135138,68.24835,72.7115122967369,2728.494,2646.84636192719,2048.587,1574.57270108133,6948.29265,3899.82608364528
"America","Brazil","Brazil – Tocantins","TO",233.696,89.2379630801977,2.14405,3.19556101146714,217.579,298.812204730136,113.28775,165.437337761383,9580.4601,9087.04857236913,10502.20285,9189.23347249881,20814.70695,12568.3599009219
"America","Colombia","Colombia","COL",586.785909295465,751.862467594754,7.23670183509175,9.06098400442909,1923.71253,3725.96394802263,1474.93228,3031.18047447272,4841.49267,6644.08869115183,49931.58249,68072.9695491356,16842.36937,16344.8207105339
"America","Costa Rica","Costa Rica","CRI",611.27223584764,729.907800583436,9.23820011011562,9.18669173965413,517.5693,896.965315347453,331.9854,698.616070676556,1672.56385,1703.47126266935,5495.8325,6448.22788840382,9597.95035,6897.4301932349
"America","Cuba","Cuba","CUB",202.023131851554,263.544262779558,6.58930906165141,8.40408586018798,208.4115,296.413252754614,105.91865,164.788072953193,6211.34725,7565.98434154607,6548.06065,8097.58789479048,10199.99515,8987.56554890985
"America","Dominica","Dominica","DMA",278.421963863305,223.993438097637,14.1736373244753,8.93330586376932,812.25305,1012.3190728772,390.58455,563.272597196273,490.5312,618.397446951942,1365.88905,1539.20500046023,2108.59405,1672.15618471179
"America","Dominican Rep.","Dominican Rep.","DOM",508.877432587923,539.821317955009,10.2537895842713,8.79577715096075,155.6964,224.586771622773,87.40345,137.155729602542,3966.82955,4537.96829894292,4959.39465,4633.91929008272,9827.10845,5559.34314765695
"America","Ecuador","Ecuador","ECU",859.488856216794,933.224985425394,9.05757342867645,9.52565030851542,1304.70870088212,2400.17458709429,859.778902699813,1834.40579814605,2487.40861400695,2288.72578568491,12178.430666934,20911.5983063563,8492.36397353649,6363.65701967748
"America","El Salvador","El Salvador","SLV",740.118213265153,524.872527211297,10.020805133604,8.45013082817144,156.6991,211.555612660247,65.3204,83.0849547109762,3687.63155,2948.08983885829,1571.2541,1460.38744133436,3971.92535,2505.39004087991
"America","French Guiana","French Guiana","GUF",100.6653,77.0412736382401,3.8962,3.39561512396554,2381.84725,3500.22116885905,1608.2716,2219.84278450814,2865.0653,2680.40475262931,43112.60855,46428.321685882,29765.1944,28471.8959560963
"America","Grenada","Grenada","GRD",197.876469996985,157.704255726901,10.4580862398231,6.30727779833035,288.5013,430.992060026748,127.67385,158.462357334832,3406.43695,6611.42405104406,793.5988,926.74849925835,1063.8251,887.762251056391
"America","Guadeloupe","Guadeloupe","GLP",226.303576811012,237.029801240218,9.15738973173917,7.61169494417361,758.54385,1229.83626708573,243.6318,433.047497782318,1378.51435,1886.16405008559,1175.0886,1331.94115163231,4025.6359,2396.59922083824
"America","Guatemala","Guatemala","GTM",599.287678767877,658.380557461237,9.12401240124012,9.51500408605587,238.2292,355.276087039729,169.2225,280.16890177967,7569.1815,7552.50112632371,8228.02225,9428.88506807333,12149.6569,10824.1962131867
"America","Guyana","Guyana","GUY",192.892155538141,225.279293084816,3.52741373253709,4.70520443613534,2134.50183744055,3179.80806929028,1460.1392131431,2227.67968435552,7420.26840142672,6440.44666831876,42862.4855436662,49805.4713341591,30739.9805177259,24016.9602636918
"America","Haiti","Haiti","HTI",478.117877207063,421.101085671335,15.0511135634029,10.5819313878711,72.757,80.7029770177345,47.80075,47.4458259993199,1690.5259,1584.42228794236,4071.45335,3293.96996879625,3587.971,2157.86942252798
"America","Honduras","Honduras","HND",600.615496198479,516.967569414645,11.5591236494598,8.60173245357342,616.17005,1381.57729183845,486.41055,1159.91521925721,3594.87345,2904.48778828569,23897.86885,22720.3503977241,14247.6017,9286.76337922746
"America","Jamaica","Jamaica","JAM",372.143500450315,268.431999444514,10.7545281697188,7.82742212755286,213.89875,400.830728315676,134.88075,290.113305996042,2879.9251,3056.47713647825,2060.66,2009.27515724773,4126.4224,2190.99621966811
"America","Martinique","Martinique","MTQ",190.380930908362,179.59571582729,9.39856706247808,6.96048572371717,477.115,765.94332729911,133.3385,232.362490591966,1205.586,1041.61461945135,728.4531,812.917305405452,2766.1687,1337.96768777014
"America","Mexico","Mexico","MEX",765.875031267197,855.533899762944,10.1059582770524,10.2597532397414,195.0129,331.697437573905,123.2474,265.18228989807,13687.6264,18134.5424574879,5583.86495,6060.0073859433,9975.34565,8117.18140353984
"America","Montserrat","Montserrat","MSR",321.218663326474,158.457591494788,16.737138767111,8.32622544832507,824.615027663752,519.946578214699,158.829020167767,163.319335630189,1891.66758879172,1221.23518933225,2945.05416741032,2462.05998572866,3660.44734963412,2730.42652083339
"America","Nicaragua","Nicaragua","NIC",174.788318247737,236.191601548585,4.53167975196279,5.49882773554051,966.43765,2263.02609935652,534.94245,1239.39331381419,4148.29855,3938.38678175976,19807.853,16060.5139672345,13367.97365,8414.15112971697
"America","Panama","Panama","PAN",302.18640504555,408.870622636726,8.59730703774152,7.62046908249909,940.84825,1690.62484813775,530.71335,966.807655965735,2469.4744,2315.93736256791,16203.9709,16882.7284878545,11572.27035,8150.77844327291
"America","Paraguay","Paraguay","PRY",226.3195,88.6110958969914,2.90885,2.8682665540621,185.32245,213.263407644278,92.0404,112.607743486115,7469.2877,6586.48918707222,6430.11905,4972.71974191776,13566.0499,8616.2189480803
"America","Peru","Peru","PER",578.20405,687.974659042695,6.73641,8.90005856285925,1909.03568,3459.73618653384,1521.29737,2809.7901026385,5495.97879,5336.62558019447,34723.56056,40020.595561818,20093.3209,18516.9950004633
"America","Puerto Rico","Puerto Rico","PRI",317.958954850335,235.575650879987,9.99094003403744,7.23372267664686,168.21945,255.223831473288,101.5431,158.278094947333,1754.55695,3061.02614053006,537.45735,1526.55705697605,5345.0468,2805.53175300702
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",329.323028391167,209.383548491609,14.2572029442692,8.53378739888831,738.982308929445,636.249723619496,276.359695126215,300.801703346644,3295.45961820852,1866.72952239613,1156.66345010838,695.958522455181,1667.55527585484,818.911257585955
"America","Saint Lucia","Saint Lucia","LCA",156.210449854724,121.096844774527,11.3081855525498,7.5253992458849,597.77815,789.004753951245,220.7751,328.556104000008,1378.8521,1277.99970148175,1282.9051,1285.93774864441,1899.2993,1155.65223286406
"America","Saint Martin","Saint Martin","MAF",189.427793788024,107.133713160686,15.7174191482549,7.7715195670198,122.996485061511,85.1555397564355,63.984502316664,46.4757030181689,2861.54289822655,1363.426372838,614.208339990414,405.62830310764,2223.40405815625,1523.24250294454
"America","Saint Vincent","Saint Vincent","VCT",247.669299311462,215.279735886739,13.8932260024301,7.61164955401746,858.05904132893,1131.5090687644,168.226508555989,262.139760853736,4500.38076653658,9483.32632985532,1657.99514660262,1654.32949997796,2450.65695987191,1630.19118648219
